Geography,stateAbbr,stateFullName
"Pine Hill town, Alabama",AL, Alabama
"Pine Level CDP, Alabama",AL, Alabama
"Pine Ridge town, Alabama",AL, Alabama
"Pinson city, Alabama",AL, Alabama
"Pisgah town, Alabama",AL, Alabama
"Pleasant Grove city, Alabama",AL, Alabama
"Pleasant Groves town, Alabama",AL, Alabama
"Point Clear CDP, Alabama",AL, Alabama
"Pollard town, Alabama",AL, Alabama
"Powell town, Alabama",AL, Alabama
"Prattville city, Alabama",AL, Alabama
"Priceville town, Alabama",AL, Alabama
"Prichard city, Alabama",AL, Alabama
"Providence town, Alabama",AL, Alabama
"Putnam CDP, Alabama",AL, Alabama
"Ragland town, Alabama",AL, Alabama
"Rainbow City city, Alabama",AL, Alabama
"Rainsville city, Alabama",AL, Alabama
"Ranburne town, Alabama",AL, Alabama
"Ray CDP, Alabama",AL, Alabama
"Red Bay city, Alabama",AL, Alabama
"Redland CDP, Alabama",AL, Alabama
"Red Level town, Alabama",AL, Alabama
"Reece City town, Alabama",AL, Alabama
"Reform town, Alabama",AL, Alabama
"Rehobeth town, Alabama",AL, Alabama
"Repton town, Alabama",AL, Alabama
"Ridgeville town, Alabama",AL, Alabama
"River Falls town, Alabama",AL, Alabama
"Riverside town, Alabama",AL, Alabama
"Riverview town, Alabama",AL, Alabama
"Roanoke city, Alabama",AL, Alabama
"Robertsdale city, Alabama",AL, Alabama
"Rockford town, Alabama",AL, Alabama
"Rock Mills CDP, Alabama",AL, Alabama
"Rockville CDP, Alabama",AL, Alabama
"Rogersville town, Alabama",AL, Alabama
"Rosa town, Alabama",AL, Alabama
"Russellville city, Alabama",AL, Alabama
"Rutledge town, Alabama",AL, Alabama
"Saks CDP, Alabama",AL, Alabama
"Samson city, Alabama",AL, Alabama
"Sand Rock town, Alabama",AL, Alabama
"Sanford town, Alabama",AL, Alabama
"Saraland city, Alabama",AL, Alabama
"Sardis City town, Alabama",AL, Alabama
"Satsuma city, Alabama",AL, Alabama
"Scottsboro city, Alabama",AL, Alabama
"Section town, Alabama",AL, Alabama
"Selma city, Alabama",AL, Alabama
"Semmes city, Alabama",AL, Alabama
"Sheffield city, Alabama",AL, Alabama
"Shelby CDP, Alabama",AL, Alabama
"Shiloh town, Alabama",AL, Alabama
"Shorter town, Alabama",AL, Alabama
"Silas town, Alabama",AL, Alabama
"Silverhill town, Alabama",AL, Alabama
"Sims Chapel CDP, Alabama",AL, Alabama
"Sipsey town, Alabama",AL, Alabama
"Skyline town, Alabama",AL, Alabama
"Slocomb city, Alabama",AL, Alabama
"Smiths Station city, Alabama",AL, Alabama
"Smoke Rise CDP, Alabama",AL, Alabama
"Snead town, Alabama",AL, Alabama
"Somerville town, Alabama",AL, Alabama
"Southside city, Alabama",AL, Alabama
"South Vinemont town, Alabama",AL, Alabama
"Spanish Fort city, Alabama",AL, Alabama
"Spring Garden CDP, Alabama",AL, Alabama
"Springville city, Alabama",AL, Alabama
"Spruce Pine CDP, Alabama",AL, Alabama
"Standing Rock CDP, Alabama",AL, Alabama
"Stapleton CDP, Alabama",AL, Alabama
"Steele town, Alabama",AL, Alabama
"Sterrett CDP, Alabama",AL, Alabama
"Stevenson city, Alabama",AL, Alabama
"Stewartville CDP, Alabama",AL, Alabama
"Stockton CDP, Alabama",AL, Alabama
"Sulligent city, Alabama",AL, Alabama
"Sumiton city, Alabama",AL, Alabama
"Summerdale town, Alabama",AL, Alabama
"Susan Moore town, Alabama",AL, Alabama
"Sweet Water town, Alabama",AL, Alabama
"Sylacauga city, Alabama",AL, Alabama
"Sylvania town, Alabama",AL, Alabama
"Sylvan Springs town, Alabama",AL, Alabama
"Talladega city, Alabama",AL, Alabama
"Talladega Springs town, Alabama",AL, Alabama
"Tallassee city, Alabama",AL, Alabama
"Tarrant city, Alabama",AL, Alabama
"Taylor town, Alabama",AL, Alabama
"Theodore CDP, Alabama",AL, Alabama
"Thomaston town, Alabama",AL, Alabama
"Thomasville city, Alabama",AL, Alabama
"Thorsby town, Alabama",AL, Alabama
"Tibbie CDP, Alabama",AL, Alabama
"Tillmans Corner CDP, Alabama",AL, Alabama
"Town Creek town, Alabama",AL, Alabama
"Toxey town, Alabama",AL, Alabama
"Trafford town, Alabama",AL, Alabama
"Triana town, Alabama",AL, Alabama
"Trinity town, Alabama",AL, Alabama
"Troy city, Alabama",AL, Alabama
"Trussville city, Alabama",AL, Alabama
"Tuscaloosa city, Alabama",AL, Alabama
"Tuscumbia city, Alabama",AL, Alabama
"Tuskegee city, Alabama",AL, Alabama
"Twin town, Alabama",AL, Alabama
"Union town, Alabama",AL, Alabama
"Union Grove town, Alabama",AL, Alabama
"Union Springs city, Alabama",AL, Alabama
"Uniontown town, Alabama",AL, Alabama
"Uriah CDP, Alabama",AL, Alabama
"Valley city, Alabama",AL, Alabama
"Valley Grande city, Alabama",AL, Alabama
"Valley Head town, Alabama",AL, Alabama
"Vance town, Alabama",AL, Alabama
"Vandiver CDP, Alabama",AL, Alabama
"Vernon city, Alabama",AL, Alabama
"Vestavia Hills city, Alabama",AL, Alabama
"Vina town, Alabama",AL, Alabama
"Vincent town, Alabama",AL, Alabama
"Vinegar Bend CDP, Alabama",AL, Alabama
"Vredenburgh town, Alabama",AL, Alabama
"Wadley town, Alabama",AL, Alabama
"Waldo town, Alabama",AL, Alabama
"Walnut Grove town, Alabama",AL, Alabama
"Warrior city, Alabama",AL, Alabama
"Waterloo town, Alabama",AL, Alabama
"Waverly town, Alabama",AL, Alabama
"Weaver city, Alabama",AL, Alabama
"Webb town, Alabama",AL, Alabama
"Wedowee town, Alabama",AL, Alabama
"Weogufka CDP, Alabama",AL, Alabama
"West Blocton town, Alabama",AL, Alabama
"West Jefferson town, Alabama",AL, Alabama
"Westover town, Alabama",AL, Alabama
"West Point town, Alabama",AL, Alabama
"Wetumpka city, Alabama",AL, Alabama
"Whatley CDP, Alabama",AL, Alabama
"White Hall town, Alabama",AL, Alabama
"White Plains CDP, Alabama",AL, Alabama
"Whitesboro CDP, Alabama",AL, Alabama
"Wilsonville town, Alabama",AL, Alabama
"Wilton town, Alabama",AL, Alabama
"Winfield city, Alabama",AL, Alabama
"Woodland town, Alabama",AL, Alabama
"Woodstock town, Alabama",AL, Alabama
"Woodville town, Alabama",AL, Alabama
"Yellow Bluff town, Alabama",AL, Alabama
"York city, Alabama",AL, Alabama
"Adak city, Alaska",AK, Alaska
"Akhiok city, Alaska",AK, Alaska
"Akiachak CDP, Alaska",AK, Alaska
"Akiak city, Alaska",AK, Alaska
"Akutan city, Alaska",AK, Alaska
"Alakanuk city, Alaska",AK, Alaska
"Alatna CDP, Alaska",AK, Alaska
"Aleknagik city, Alaska",AK, Alaska
"Allakaket city, Alaska",AK, Alaska
"Ambler city, Alaska",AK, Alaska
"Anaktuvuk Pass city, Alaska",AK, Alaska
"Anchor Point CDP, Alaska",AK, Alaska
"Anderson city, Alaska",AK, Alaska
"Angoon city, Alaska",AK, Alaska
"Aniak city, Alaska",AK, Alaska
"Anvik city, Alaska",AK, Alaska
"Arctic Village CDP, Alaska",AK, Alaska
"Atka city, Alaska",AK, Alaska
"Atmautluak CDP, Alaska",AK, Alaska
"Atqasuk city, Alaska",AK, Alaska
"Barrow city, Alaska",AK, Alaska
"Beaver CDP, Alaska",AK, Alaska
"Beluga CDP, Alaska",AK, Alaska
"Bethel city, Alaska",AK, Alaska
"Bettles city, Alaska",AK, Alaska
"Big Delta CDP, Alaska",AK, Alaska
"Brevig Mission city, Alaska",AK, Alaska
"Buckland city, Alaska",AK, Alaska
"Butte CDP, Alaska",AK, Alaska
"Cantwell CDP, Alaska",AK, Alaska
"Central CDP, Alaska",AK, Alaska
"Chalkyitsik CDP, Alaska",AK, Alaska
"Chase CDP, Alaska",AK, Alaska
"Chefornak city, Alaska",AK, Alaska
"Chevak city, Alaska",AK, Alaska
"Chickaloon CDP, Alaska",AK, Alaska
"Chicken CDP, Alaska",AK, Alaska
"Chignik city, Alaska",AK, Alaska
"Chignik Lagoon CDP, Alaska",AK, Alaska
"Chisana CDP, Alaska",AK, Alaska
"Chistochina CDP, Alaska",AK, Alaska
"Chitina CDP, Alaska",AK, Alaska
"Chuathbaluk city, Alaska",AK, Alaska
"Circle CDP, Alaska",AK, Alaska
"Clam Gulch CDP, Alaska",AK, Alaska
"Clark's Point city, Alaska",AK, Alaska
"Coffman Cove city, Alaska",AK, Alaska
"Cohoe CDP, Alaska",AK, Alaska
"Cold Bay city, Alaska",AK, Alaska
"Coldfoot CDP, Alaska",AK, Alaska
"College CDP, Alaska",AK, Alaska
"Cooper Landing CDP, Alaska",AK, Alaska
"Copper Center CDP, Alaska",AK, Alaska
"Cordova city, Alaska",AK, Alaska
"Craig city, Alaska",AK, Alaska
"Crooked Creek CDP, Alaska",AK, Alaska
"Deering city, Alaska",AK, Alaska
"Delta Junction city, Alaska",AK, Alaska
"Deltana CDP, Alaska",AK, Alaska
"Dillingham city, Alaska",AK, Alaska
"Diomede city, Alaska",AK, Alaska
"Dot Lake CDP, Alaska",AK, Alaska
"Eagle city, Alaska",AK, Alaska
"Eagle Village CDP, Alaska",AK, Alaska
"Edna Bay city, Alaska",AK, Alaska
"Eek city, Alaska",AK, Alaska
"Egegik city, Alaska",AK, Alaska
"Ekwok city, Alaska",AK, Alaska
"Elfin Cove CDP, Alaska",AK, Alaska
"Elim city, Alaska",AK, Alaska
"Emmonak city, Alaska",AK, Alaska
"Ester CDP, Alaska",AK, Alaska
"Eureka Roadhouse CDP, Alaska",AK, Alaska
"Excursion Inlet CDP, Alaska",AK, Alaska
"Fairbanks city, Alaska",AK, Alaska
"False Pass city, Alaska",AK, Alaska
"Flat CDP, Alaska",AK, Alaska
"Fort Yukon city, Alaska",AK, Alaska
"Fox CDP, Alaska",AK, Alaska
"Gakona CDP, Alaska",AK, Alaska
"Galena city, Alaska",AK, Alaska
"Gambell city, Alaska",AK, Alaska
"Glennallen CDP, Alaska",AK, Alaska
"Golovin city, Alaska",AK, Alaska
"Goodnews Bay city, Alaska",AK, Alaska
"Grayling city, Alaska",AK, Alaska
"Gulkana CDP, Alaska",AK, Alaska
"Gustavus city, Alaska",AK, Alaska
"Haines CDP, Alaska",AK, Alaska
"Happy Valley CDP, Alaska",AK, Alaska
"Healy CDP, Alaska",AK, Alaska
"Hollis CDP, Alaska",AK, Alaska
"Holy Cross city, Alaska",AK, Alaska
"Homer city, Alaska",AK, Alaska
"Hoonah city, Alaska",AK, Alaska
"Hooper Bay city, Alaska",AK, Alaska
"Hope CDP, Alaska",AK, Alaska
"Houston city, Alaska",AK, Alaska
"Hughes city, Alaska",AK, Alaska
"Huslia city, Alaska",AK, Alaska
"Hydaburg city, Alaska",AK, Alaska
"Hyder CDP, Alaska",AK, Alaska
"Igiugig CDP, Alaska",AK, Alaska
"Iliamna CDP, Alaska",AK, Alaska
